Sr. No.,LockerNo
1,1
2,13
3,25
4,37
5,49
6,61
7,2
8,14
9,26
10,38
11,50
12,62
13,3
14,15
15,27
16,39
17,51
18,63
19,4
20,16
21,28
22,40
23,52
24,64
25,5
26,17
27,29
28,41
29,53
30,65
31,6
32,18
33,30
34,42
35,54
36,66
37,7
38,19
39,31
40,43
41,55
42,67
43,8
44,20
45,32
46,44
47,56
48,68
49,9
50,21
51,33
52,45
53,57
54,69
55,10
56,22
57,34
58,46
59,58
60,70
61,11
62,23
63,35
64,47
65,59
66,71
67,12
68,24
69,36
70,48
71,60
72,72
73,73
74,86
75,99
76,112
77,125
78,138
79,74
80,87
81,99
82,113
83,126
84,139
85,75
86,88
87,99
88,114
89,127
90,140
91,76
92,89
93,99
94,115
95,128
96,141
97,77
98,90
99,99
100,116
101,129
102,142
103,78
104,91
105,99
106,117
107,130
108,143
109,79
110,92
111,99
112,118
113,131
114,144
115,80
116,93
117,99
118,119
119,132
120,145
121,81
122,94
123,99
124,120
125,133
126,146
127,82
128,95
129,99
130,121
131,134
132,147
133,83
134,96
135,99
136,122
137,135
138,148
139,84
140,97
141,99
142,123
143,136
144,149
145,85
146,98
147,99
148,124
149,137
150,150
151,409
152,424
153,439
154,454
155,469
156,484
157,151
158,166
159,181
160,196
161,211
162,226
163,152
164,167
165,182
166,197
167,212
168,227
169,153
170,168
171,183
172,198
173,213
174,228
175,154
176,169
177,184
178,199
179,214
180,229
181,155
182,170
183,185
184,200
185,215
186,230
187,156
188,171
189,186
190,201
191,216
192,231
193,157
194,172
195,187
196,202
197,217
198,232
199,158
200,173
201,188
202,203
203,218
204,233
205,159
206,174
207,189
208,204
209,219
210,234
211,160
212,175
213,190
214,205
215,220
216,235
217,161
218,176
219,191
220,206
221,221
222,236
223,162
224,177
225,192
226,207
227,222
228,237
229,163
230,178
231,193
232,208
233,223
234,238
235,164
236,179
237,194
238,209
239,224
240,239
