Sr. No.,LockerNo
1,1
2,13
3,25
4,37
5,49
6,61
7,2
8,14
9,26
10,38
11,50
12,62
13,3
14,15
15,27
16,39
17,51
18,63
19,4
20,16
21,28
22,40
23,52
24,64
25,5
26,17
27,29
28,41
29,53
30,65
31,6
32,18
33,30
34,42
35,54
36,66
37,7
38,19
39,31
40,43
41,55
42,67
43,8
44,20
45,32
46,44
47,56
48,68
49,9
50,21
51,33
52,45
53,57
54,69
55,10
56,22
57,34
58,46
59,58
60,70
61,11
62,23
63,35
64,47
65,59
66,71
67,12
68,24
69,36
70,48
71,60
72,72
73,73
74,86
75,99
76,112
77,125
78,138
79,74
80,87
81,99
82,113
83,126
84,139
85,75
86,88
87,99
88,114
89,127
90,140
91,76
92,89
93,99
94,115
95,128
96,141
97,77
98,90
99,99
100,116
101,129
102,142
103,78
104,91
105,99
106,117
107,130
108,143
109,79
110,92
111,99
112,118
113,131
114,144
115,80
116,93
117,99
118,119
119,132
120,145
121,81
122,94
123,99
124,120
125,133
126,146
127,82
128,95
129,99
130,121
131,134
132,147
133,83
134,96
135,99
136,122
137,135
138,148
139,84
140,97
141,99
142,123
143,136
144,149
145,85
146,98
147,99
148,124
149,137
150,150
151,151
152,166
153,181
154,196
155,211
156,226
157,152
158,167
159,182
160,197
161,212
162,227
163,153
164,168
165,183
166,198
167,213
168,228
169,154
170,169
171,184
172,199
173,214
174,229
175,155
176,170
177,185
178,200
179,215
180,230
181,156
182,171
183,186
184,201
185,216
186,231
187,157
188,172
189,187
190,202
191,217
192,232
193,158
194,173
195,188
196,203
197,218
198,233
199,159
200,174
201,189
202,204
203,219
204,234
205,160
206,175
207,190
208,205
209,220
210,235
211,161
212,176
213,191
214,206
215,221
216,236
217,162
218,177
219,192
220,207
221,222
222,237
223,163
224,178
225,193
226,208
227,223
228,238
229,164
230,179
231,194
232,209
233,224
234,239
235,165
236,180
237,195
238,210
239,225
240,240
